,misinfo,topic,polling_firm,sponsor,academic_comm,date,question,link,correct,leaning correct,incorrect,leaning incorrect,dk,not sure,refused_na,no opinion,undecided,misinformation,n_options,explicit_dk,explicit_ns,matter_of_opinion,n,mode,l_congenial_options,r_congenial_options,correct_valence ,prompt_type ,ire,footnotes
187,Y,GW Scientist Agreement,60 Minutes/Vanity Fair,60 Minutes/Vanity Fair,0,03/30/16-04/03/16,"As far as you know, what do scientific studies conclude about global warming? Most scientific studies conclude that global warming is real. Most scientific studies conclude that global warming is not real. OR, Most scientific studies are divided, and there is no real consensus either way.",http://www.pollingreport.com/enviro.htm,61,0,36,0,0,2,0,0,0,,3,N,N,Y,"1,010",online,,,,AFYK,N,Unsure/No answer (2%)
150,Y,GW Happening,ABC News,Time/Stanford University,0,03/09-14/06,"As far as you know, would you say that average temperature around the world have been higher in the last three years than before that, lower, or about the same?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=as AND  far AND  as AND  you AND  know or recall AND  did AND  the AND  size AND  of AND  the AND  yearly AND  us AND  (united AND  states) AND  budget deficit AND  otherwise AND  known AND  as AND  government debt increase AND  decrease or stay AND  the AND  same AND  during&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Time, Stanford University&studydate=March 9-14, 2006&sample=1002&qstn_list=&qstnid=1646919&qa_list=&qstn_id4=1646919&study_list=&lastSearchId=317673097547&archno=USABC2006-1009&keywordDisplay=",56,0,41,0,0,0,0,3,0,,3,N,N,Y,"1,002",telephone,,,,AFYK,N,
108,Y,GW Scientist Agreement,ABC News,Planet Green/The Woods Institute for the Environment at Stanford University,0,07/23-28/08,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  most AND  scientists AND  agree AND  with AND  one AND  another AND  {about} AND  whether not global AND  warming AND  is happening or do AND  you AND  think AND  there AND  is a lot AND  of AND  disagreement AND  among AND  scientists AND  on AND  this AND  issue&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Planet Green, The Woods Institute for the Environment at Stanford University&studydate=July 23-28, 2008&sample=1000&qstn_list=&qstnid=1713077&qa_list=&qstn_id4=1713077&study_list=&lastSearchId=317673080638&archno=USABC2008-1067&keywordDisplay=",39,0,57,0,0,0,0,4,0,,2,N,N,Y,"1,000",telephone,0,1,L,DYT,N,
109,Y,GW Scientist Agreement,ABC News,Planet Green/The Woods Institute for the Environment at Stanford University,0,07/23-28/08,"Do you think most scientists agree with one another about the causes of global warming, or is there a lot of disagreement among scientists about that?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  most AND  scientists AND  agree AND  with AND  one AND  another AND  {about} AND  the AND  causes AND  of AND  global warming or is AND  there a lot AND  of AND  disagreement AND  among AND  scientists AND  {about} AND  that&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Planet Green, The Woods Institute for the Environment at Stanford University&studydate=July 23-28, 2008&sample=1000&qstn_list=&qstnid=1713079&qa_list=&qstn_id4=1713079&study_list=&lastSearchId=317673080644&archno=USABC2008-1067&keywordDisplay=",33,0,63,0,0,0,0,5,0,,2,N,N,Y,"1,000",telephone,0,1,L,DYT,N,
110,Y,GW Scientist Agreement,ABC News,Planet Green/The Woods Institute for the Environment at Stanford University,0,07/23-28/08,"Do you think most scientists agree with one another about how much of a threat global warming poses, or is there a lot of disagreement among scientists about that?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  most AND  scientists AND  agree AND  with AND  one AND  another AND  {about} AND  the AND  causes AND  of AND  global warming or is AND  there a lot AND  of AND  disagreement AND  among AND  scientists AND  {about} AND  that&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Planet Green, The Woods Institute for the Environment at Stanford University&studydate=July 23-28, 2008&sample=1000&qstn_list=&qstnid=1713080&qa_list=&qstn_id4=1713080&study_list=&lastSearchId=317673080648&archno=USABC2008-1067&keywordDisplay=",33,0,62,0,0,0,0,5,0,,2,N,N,Y,"1,000",telephone,0,1,L,DYT,N,
114,Y,GW Scientist Agreement,ABC News,Time/Stanford University,0,03/09-14/06,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  most AND  scientists AND  agree AND  with AND  one AND  another AND  {about} AND  whether not global AND  warming AND  is happening or do AND  you AND  think AND  there AND  is a lot AND  of AND  disagreement AND  among AND  scientists AND  on AND  this AND  issue&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Time, Stanford University&studydate=March 9-14, 2006&sample=1002&qstn_list=&qstnid=1646940&qa_list=&qstn_id4=1646940&study_list=&lastSearchId=317673080571&archno=USABC2006-1009&keywordDisplay=",35,0,64,0,0,0,0,1,0,,2,N,N,Y,"1,002",telephone,0,1,L,DYT,N,
149,Y,GW Happening,ABC News/Washington Post,Stanford University,0,04/05-10/07,"As far as you know, would you say that average temperature around the world have been higher in the last three years than before that, lower, or about the same?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=as AND  far AND  as AND  you AND  know or recall AND  did AND  the AND  size AND  of AND  the AND  yearly AND  us AND  (united AND  states) AND  budget deficit AND  otherwise AND  known AND  as AND  government debt increase AND  decrease or stay AND  the AND  same AND  during&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Stanford University&studydate=April 5-10, 2007&sample=1002&qstn_list=&qstnid=1679581&qa_list=&qstn_id4=1679581&study_list=&lastSearchId=317673097547&archno=USABCWASH2007-1035&keywordDisplay=",56,0,37,0,0,0,0,7,0,,3,N,N,Y,"1,002",telephone,,,,AFYK,N,
147,Y,Obama Citizenship,ABC News/Washington Post,ABC News/Washington Post,0,04/22-25/10,"Where was Barack Obama born, as far as you know?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=as AND  far AND  as AND  you AND  know or recall AND  did AND  the AND  size AND  of AND  the AND  yearly AND  us AND  (united AND  states) AND  budget deficit AND  otherwise AND  known AND  as AND  government debt increase AND  decrease or stay AND  the AND  same AND  during&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 22-25, 2010&sample=1001&qstn_list=&qstnid=1777739&qa_list=&qstn_id4=1777739&study_list=&lastSearchId=317673097547&archno=USABCWASH2010-1109&keywordDisplay=",60,0,22,0,19,0,0,0,0,,0,N,N,Y,"1,001",telephone,,,,AFYK,N,CORRECT=Honolulu/Hawaii (48%)+America/United States (general) (12%)
105,Y,GW Scientist Agreement,ABC News/Washington Post,ABC News/Washington Post,0,12/10-13/09,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  most AND  scientists AND  agree AND  with AND  one AND  another AND  {about} AND  whether not global AND  warming AND  is happening or do AND  you AND  think AND  there AND  is a lot AND  of AND  disagreement AND  among AND  scientists AND  on AND  this AND  issue&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=December 10-13, 2009&sample=1003&qstn_list=&qstnid=1752308&qa_list=&qstn_id4=1752308&study_list=&lastSearchId=317673080625&archno=USABCWASH2009-1098&keywordDisplay=",36,0,62,0,0,0,0,2,0,,2,N,N,Y,"1,003",telephone,0,1,L,DYT,N,
111,Y,GW Scientist Agreement,ABC News/Washington Post,Stanford University,0,04/05-10/07,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  most AND  scientists AND  agree AND  with AND  one AND  another AND  {about} AND  whether not global AND  warming AND  is happening or do AND  you AND  think AND  there AND  is a lot AND  of AND  disagreement AND  among AND  scientists AND  on AND  this AND  issue&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Stanford University&studydate=April 5-10, 2007&sample=1002&qstn_list=&qstnid=1679590&qa_list=&qstn_id4=1679590&study_list=&lastSearchId=317673080612&archno=USABCWASH2007-1035&keywordDisplay=",40,0,56,0,0,0,0,3,0,,2,N,N,Y,"1,002",telephone,0,1,L,DYT,N,
