row,id,topic,polling_firm,mode,date,keep,drop_reason,dk_shown,claim_cue,drop_category
0,187,GW Scientist Agreement,60 Minutes/Vanity Fair,online,03/30/16-04/03/16,True,,False,,
1,150,GW Happening,ABC News,telephone,03/09-14/06,True,,False,,
2,108,GW Scientist Agreement,ABC News,telephone,07/23-28/08,True,,False,,
3,109,GW Scientist Agreement,ABC News,telephone,07/23-28/08,True,,False,,
4,110,GW Scientist Agreement,ABC News,telephone,07/23-28/08,False,Scientists' agreement on the size of the threat is not a settled fact,False,,Not a factual proposition with one right answer
5,114,GW Scientist Agreement,ABC News,telephone,03/09-14/06,True,,False,,
6,149,GW Happening,ABC News/Washington Post,telephone,04/05-10/07,True,,False,,
7,147,Obama Citizenship,ABC News/Washington Post,telephone,04/22-25/10,False,Open-ended,False,,"Open-ended, or asked only of those who did not know"
8,105,GW Scientist Agreement,ABC News/Washington Post,telephone,12/10-13/09,True,,False,,
9,111,GW Scientist Agreement,ABC News/Washington Post,telephone,04/05-10/07,True,,False,,
10,180,GW Scientist Agreement,ABC News/Washington Post,telephone,11/16-19/15,True,,False,,
11,191,GW Scientist Agreement,ABC News/Washington Post,online,11/16-19/15,True,,False,,
12,241,Obama Illegal Wiretapping,ABC News/Washington Post,telephone,04/17-20/17,False,Whether the administration 'spied' on the campaign was contested,False,,"Answer not settled when asked, or settled differently later"
13,210,Obama Citizenship,ABC News/Washington Post,telephone,04/22-25/10,False,Follow-up asked only of those who did not know,False,,"Open-ended, or asked only of those who did not know"
14,204,Vaccines Medical Scientists,"Abt SRBI, Inc.",online,05/10/16-06/10/16,True,,False,,
15,21,Obama Religion,"Abt SRBI, Inc.",telephone,04/14/11-07/22/11,True,,False,,
16,23,Obama Religion,"Abt SRBI, Inc.",telephone,08/16-17/10,True,,False,,
17,144,Vaccines,"Abt SRBI, Inc.",mixed,05/10/16-06/10/16,False,"Rates benefits, not a factual proposition",False,,Not a factual proposition with one right answer
18,145,Vaccines,"Abt SRBI, Inc.",mixed,05/10/16-06/10/16,False,"Rates risks, not a factual proposition",False,,Not a factual proposition with one right answer
19,6,Obama Citizenship,Anderson Robbins Research/Shaw & Co. Research,telephone,04/03-05/11,True,,False,,
20,228,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,telephone,07/16-18/17,True,,False,,
21,229,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,telephone,07/16-18/17,True,,False,,
22,230,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,telephone,06/25-27/17,False,How much Russian interference helped a candidate is unknowable,False,,"Answer not settled when asked, or settled differently later"
23,233,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,telephone,05/21-23/17,False,How much Russian interference helped a candidate is unknowable,False,,"Answer not settled when asked, or settled differently later"
24,238,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,telephone,12/11-13/16,False,How much Russian interference helped a candidate is unknowable,False,,"Answer not settled when asked, or settled differently later"
25,137,Vaccines,Anderson Robbins Research/Shaw & Co. Research,telephone,02/08-10/15,False,Graded safety ratings have no single correct category,False,,Not a factual proposition with one right answer
26,100,GW Happening,AP/GfK Roper Public Affairs & Corporate Communications,telephone,11/29/12-12/03/12,True,,False,,
27,231,Russia Meddling,CBS News,telephone,06/15-18/17,True,,False,,
28,234,Russia Meddling,CBS News,telephone,03/25-28/17,True,,False,,
29,237,Russia Meddling,CBS News,telephone,01/13-17/17,True,,False,,
30,40,Obama Religion,CBS News,telephone,08/08-12/07,False,Open-ended,False,,"Open-ended, or asked only of those who did not know"
31,134,Crime Illegal Imm.,CBS News,online,02/17-21/17,False,Evidence on crime by undocumented immigrants was thin when asked,False,,"Answer not settled when asked, or settled differently later"
32,172,Crime Illegal Imm.,CBS News,telephone,07/29/15-08/02/15,False,Evidence on crime by undocumented immigrants was thin when asked,False,,"Answer not settled when asked, or settled differently later"
33,8,Obama Citizenship,CBS News,telephone,06/01-03/10,True,,False,,
34,141,Vaccines,CBS News,online,02/13-17/15,False,Graded likelihood item whose split of 'not very likely' cannot be verified,False,,"Ambiguous wording, or a key that cannot be verified"
35,136,Vaccines,CBS News,online,02/13-17/15,False,Graded safety ratings have no single correct category,False,,Not a factual proposition with one right answer
36,194,GW Happening Cause,CBS News/New York Times,online,09/10-14/14,True,,False,,
37,28,Obama Religion,CBS News/New York Times,telephone,10/10-13/08,False,Open-ended,False,,"Open-ended, or asked only of those who did not know"
38,35,Obama Religion,CBS News/New York Times,telephone,05/01-03/08,False,Open-ended,False,,"Open-ended, or asked only of those who did not know"
39,169,Crime Illegal Imm.,CBS News/New York Times,telephone,09/09-13/16,False,Evidence on crime by undocumented immigrants was thin when asked,False,,"Answer not settled when asked, or settled differently later"
40,173,Crime Illegal Imm.,CBS News/New York Times,telephone,05/18-23/07,False,Evidence on crime by undocumented immigrants was thin when asked,False,,"Answer not settled when asked, or settled differently later"
41,5,Obama Citizenship,CBS News/New York Times,telephone,04/15-20/11,True,,False,Some people say he was not born in the United States,
42,11,Obama Citizenship,CBS News/New York Times,telephone,04/05-12/10,True,,False,Some people say he was not born in the United States,
43,195,GW Happening Cause,CNN/ORC,online,01/14-15/13,True,,False,,
44,254,GW Happening Cause,Economist/YouGov,online,06/04-06/17,True,,False,,
45,255,GW Scientist Agreement,Economist/YouGov,online,06/04-06/17,True,,True,,
46,244,Obama Illegal Wiretapping,Economist/YouGov,online,03/06-07/17,True,,True,,
